City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Broken Hill,AU,80.01,broken clouds,-31.95,141.4333,Royal Exchange Hotel
8,San Pedro,PH,79.36,broken clouds,14.35,121.0167,Villa Veronica Resort Private Pool
11,Tete,MZ,80.69,thunderstorm,-16.1564,33.5867,Zambeze Paraíso Misterioso
14,Lagunas,PE,83.77,moderate rain,-5.2269,-75.6753,Hospedaje Eco
16,Alofi,NU,75.09,overcast clouds,-19.0595,-169.9187,Taloa Heights
17,Ndele,CF,82.62,overcast clouds,8.4109,20.6473,
18,Atuona,PF,77.58,light rain,-9.8,-139.0333,Villa Enata
21,Porto Novo,BJ,84.02,broken clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
23,Praya,CV,77.54,clear sky,14.9215,-23.5087,LT Aparthotel
26,Georgetown,MY,80.89,scattered clouds,5.4112,100.3354,Cititel Penang
30,Salalah,OM,75.29,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
34,Sao Filipe,CV,76.64,scattered clouds,14.8961,-24.4956,Hotel Xaguate
36,Linguere,SN,88.36,scattered clouds,15.3953,-15.1193,AYO Casablanca
38,Castro,BR,81.64,clear sky,-24.7911,-50.0119,CHACARA BAILLY
39,Rikitea,PF,78.33,light rain,-23.1203,-134.9692,People ThankYou
46,Saint-Philippe,RE,80.19,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
48,Vaini,TO,78.96,scattered clouds,-21.2,-175.2,Keleti Beach Resort
50,Butaritari,KI,82.13,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
52,Kangaba,ML,88.95,clear sky,11.9333,-8.4167,CAF (case de l´amitié et de la fraternité)
57,Mahebourg,MU,81.25,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
58,Cabo San Lucas,MX,83.61,broken clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
68,Tacuarembo,UY,79.43,clear sky,-31.7333,-55.9833,Complejo San Fructuoso
72,Sembakung,ID,76.93,broken clouds,3.8167,117.25,
77,Itupiranga,BR,84.52,overcast clouds,-5.1347,-49.3267,Hotel Panorama
78,Bireun,ID,77.72,moderate rain,5.203,96.7009,Rumah Bp.AR. ISMAIL
84,Bull Savanna,JM,83.1,clear sky,17.8868,-77.5902,Big Red's
87,Male,MV,80.91,overcast clouds,4.1748,73.5089,Hotel Octave Maldives
