City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Pringsewu,ID,-5.3582,104.9744,74.12,93,100,0.89,overcast clouds
1,Broken Hill,AU,-31.95,141.4333,80.01,28,72,14.7,broken clouds
2,Hilo,US,19.7297,-155.09,71.11,82,20,6.91,few clouds
3,Tuktoyaktuk,CA,69.4541,-133.0374,-34.6,67,40,5.75,scattered clouds
4,Esperance,AU,-33.8667,121.9,62.02,72,0,12.08,clear sky
5,Kaitangata,NZ,-46.2817,169.8464,49.93,89,31,3.18,scattered clouds
6,Baykalsk,RU,51.5058,104.1469,-6.02,100,100,0.54,overcast clouds
7,Svetlogorsk,BY,52.6333,29.7333,28.8,77,52,10.83,broken clouds
8,San Pedro,PH,14.35,121.0167,79.36,92,75,5.75,broken clouds
9,Torbay,CA,47.6666,-52.7314,45.37,69,100,18.41,overcast clouds
10,Mataura,NZ,-46.1927,168.8643,41.49,99,29,2.39,scattered clouds
11,Tete,MZ,-16.1564,33.5867,80.69,74,20,3.44,thunderstorm
12,Chicama,PE,-7.8447,-79.1469,70.34,51,94,11.74,overcast clouds
13,Albany,US,42.6001,-73.9662,26.55,58,100,1.99,overcast clouds
14,Lagunas,PE,-5.2269,-75.6753,83.77,66,99,3.2,moderate rain
15,Ahuimanu,US,21.4447,-157.8378,74.46,81,20,9.22,few clouds
16,Alofi,NU,-19.0595,-169.9187,75.09,94,100,2.3,overcast clouds
17,Ndele,CF,8.4109,20.6473,82.62,14,85,5.32,overcast clouds
18,Atuona,PF,-9.8,-139.0333,77.58,78,50,15.26,light rain
19,Dikson,RU,73.5069,80.5464,-3.51,87,100,26.04,overcast clouds
20,Hermanus,ZA,-34.4187,19.2345,72.9,81,4,15.48,clear sky
21,Porto Novo,BJ,6.4965,2.6036,84.02,67,60,9.8,broken clouds
22,Cape Town,ZA,-33.9258,18.4232,73.11,78,20,20.71,few clouds
23,Praya,CV,14.9215,-23.5087,77.54,61,0,18.41,clear sky
24,Punta Arenas,CL,-53.15,-70.9167,51.91,50,20,46.04,few clouds
25,Yertsevo,RU,60.7966,40.086,17.98,96,68,7.23,broken clouds
26,Georgetown,MY,5.4112,100.3354,80.89,87,40,8.05,scattered clouds
27,Fairbanks,US,64.8378,-147.7164,11.23,80,100,0.0,light snow
28,Cherskiy,RU,68.75,161.3,-19.32,98,100,7.96,overcast clouds
29,Yellowknife,CA,62.456,-114.3525,-17.59,73,75,3.0,broken clouds
30,Salalah,OM,17.0151,54.0924,75.29,69,0,2.3,clear sky
31,Kapaa,US,22.0752,-159.319,71.92,84,40,13.8,moderate rain
32,Sitka,US,57.0531,-135.33,35.49,87,100,0.0,overcast clouds
33,Hazorasp,UZ,41.3194,61.0742,46.24,52,62,9.8,broken clouds
34,Sao Filipe,CV,14.8961,-24.4956,76.64,56,39,14.45,scattered clouds
35,Vila Franca Do Campo,PT,37.7167,-25.4333,63.19,66,60,6.93,broken clouds
36,Linguere,SN,15.3953,-15.1193,88.36,11,40,13.89,scattered clouds
37,Kodiak,US,57.79,-152.4072,26.11,93,0,6.91,clear sky
38,Castro,BR,-24.7911,-50.0119,81.64,48,6,4.94,clear sky
