City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Aksu,CN,2022-02-12 04:39:04,41.1231,80.2644,32.81,32,3,1.63
1,Busselton,AU,2022-02-12 04:39:04,-33.65,115.3333,71.1,60,63,14.16
2,Jamestown,US,2022-02-12 04:35:44,42.097,-79.2353,41.09,68,100,13.8
3,Qaanaaq,GL,2022-02-12 04:39:04,77.484,-69.3632,-23.28,50,0,7.4
4,Punta Arenas,CL,2022-02-12 04:39:05,-53.15,-70.9167,57.31,77,75,23.02
5,Bredasdorp,ZA,2022-02-12 04:39:05,-34.5322,20.0403,67.28,88,27,2.3
6,Faya,SA,2022-02-12 04:39:05,18.3851,42.4509,51.91,80,14,2.53
7,Bambanglipuro,ID,2022-02-12 04:39:06,-7.95,110.2833,85.59,65,100,4.81
8,Hermanus,ZA,2022-02-12 04:39:06,-34.4187,19.2345,67.8,87,24,8.57
9,Vaini,TO,2022-02-12 04:39:06,-21.2,-175.2,84.36,89,20,8.05
10,Windhoek,NA,2022-02-12 04:39:07,-22.5594,17.0832,64.89,94,100,6.91
11,Bulolo,PG,2022-02-12 04:39:07,-7.2,146.65,85.41,46,73,2.55
12,Hilo,US,2022-02-12 04:39:07,19.7297,-155.09,71.11,89,23,2.57
13,Shingu,JP,2022-02-12 04:39:08,33.7333,135.9833,54.59,40,100,5.59
14,Cape Town,ZA,2022-02-12 04:37:37,-33.9258,18.4232,66.88,83,0,11.5
15,Albany,US,2022-02-12 04:39:08,42.6001,-73.9662,50.58,59,100,8.48
16,Harper,LR,2022-02-12 04:39:08,4.375,-7.7169,77.99,87,23,7.34
17,Mataura,NZ,2022-02-12 04:39:09,-46.1927,168.8643,57.47,46,81,8.95
18,Kalemie,CD,2022-02-12 04:39:09,-5.9475,29.1947,70.5,88,100,1.25
19,Flin Flon,CA,2022-02-12 04:39:09,54.7682,-101.865,-9.47,98,100,5.39
20,Husavik,IS,2022-02-12 04:39:10,66.0449,-17.3389,19.31,84,96,8.19
21,Lebu,CL,2022-02-12 04:39:10,-37.6167,-73.65,56.71,79,0,14.74
22,Rikitea,PF,2022-02-12 04:39:10,-23.1203,-134.9692,79.18,74,4,16.96
23,Enshi,CN,2022-02-12 04:39:10,30.3,109.4833,41.14,98,100,0.65
24,Castro,BR,2022-02-12 04:39:11,-24.7911,-50.0119,57.31,98,9,5.21
25,Rudkobing,DK,2022-02-12 04:39:11,54.9364,10.7102,31.98,77,11,17.67
26,Nemuro,JP,2022-02-12 04:39:12,43.3236,145.575,27.03,72,100,3.09
27,Yaan,NG,2022-02-12 04:39:12,7.3833,8.5667,72.32,17,22,5.37
28,Jinji,CN,2022-02-12 04:39:12,23.2281,110.8261,63.68,72,99,6.69
29,New Norfolk,AU,2022-02-12 04:39:13,-42.7826,147.0587,74.66,29,6,1.99
30,Ribera,IT,2022-02-12 04:39:13,37.4984,13.2642,48.4,64,100,3.62
31,Lidkoping,SE,2022-02-12 04:39:13,58.5052,13.1577,39.09,3,34,18.14
32,Saint-Philippe,RE,2022-02-12 04:39:13,-21.3585,55.7679,81.1,68,59,5.68
33,Beinamar,TD,2022-02-12 04:39:14,8.6698,15.3813,65.8,18,3,3.11
34,Puerto Ayora,EC,2022-02-12 04:39:14,-0.7393,-90.3518,71.55,100,89,8.01
35,Laguna,US,2022-02-12 04:39:15,38.421,-121.4238,63.32,77,0,3.44
36,Bathsheba,BB,2022-02-12 04:39:15,13.2167,-59.5167,77.61,61,20,23.02
37,Flinders,AU,2022-02-12 04:39:15,-34.5833,150.8552,75.79,90,81,4.0
38,Kavieng,PG,2022-02-12 04:39:16,-2.5744,150.7967,83.35,71,52,6.64
39,Leningradskiy,RU,2022-02-12 04:39:16,69.3833,178.4167,-20.94,98,94,5.01
40,Ushuaia,AR,2022-02-12 04:39:16,-54.8,-68.3,55.06,76,40,43.73
41,Lompoc,US,2022-02-12 04:39:16,34.6391,-120.4579,64.18,64,0,10.36
42,Khandyga,RU,2022-02-12 04:39:17,62.6667,135.6,-24.12,91,83,1.03
43,Georgetown,MY,2022-02-12 04:39:32,5.4112,100.3354,86.9,75,20,5.75
44,Upernavik,GL,2022-02-12 04:40:17,72.7868,-56.1549,-8.63,84,100,15.77
45,Esperance,AU,2022-02-12 04:40:17,-33.8667,121.9,71.44,84,100,13.73
46,Bluff,NZ,2022-02-12 04:40:18,-46.6,168.3333,57.79,59,60,15.64
47,Nanortalik,GL,2022-02-12 04:40:18,60.1432,-45.2371,29.32,78,100,14.25
48,Iquitos,PE,2022-02-12 04:40:18,-3.7481,-73.2472,75.24,100,75,2.3
49,La Reforma,MX,2022-02-12 04:40:19,25.0833,-108.05,62.89,66,0,4.05
50,Palembang,ID,2022-02-12 04:40:19,-2.9167,104.7458,86.09,66,20,13.8
51,Ostersund,SE,2022-02-12 04:40:19,63.1792,14.6357,30.65,74,75,12.66
52,Port Alfred,ZA,2022-02-12 04:40:20,-33.5906,26.891,73.45,85,22,5.14
53,Hobart,AU,2022-02-12 04:40:20,-42.8794,147.3294,75.02,46,75,14.97
54,Makakilo City,US,2022-02-12 04:40:20,21.3469,-158.0858,74.95,67,40,9.22
55,Boundiali,CI,2022-02-12 04:40:21,9.5217,-6.4869,65.39,17,2,4.27
56,Ribeira Grande,PT,2022-02-12 04:40:21,38.5167,-28.7,59.99,78,83,14.03
57,Talnakh,RU,2022-02-12 04:40:21,69.4865,88.3972,-9.4,84,99,9.44
58,Tabou,CI,2022-02-12 04:40:21,4.423,-7.3528,77.47,89,8,5.39
59,Marsabit,KE,2022-02-12 04:40:22,2.3284,37.9899,64.56,68,38,15.88
60,Angoram,PG,2022-02-12 04:40:22,-4.0625,144.0661,78.55,92,100,2.1
61,Aswan,EG,2022-02-12 04:40:22,24.0934,32.907,49.3,57,0,4.61
62,Isoka,ZM,2022-02-12 04:40:23,-10.1606,32.6335,61.75,98,100,0.45
63,Baculin,PH,2022-02-12 04:40:23,7.4525,126.5842,84.27,64,95,4.45
64,Porangatu,BR,2022-02-12 04:40:23,-13.4408,-49.1486,70.0,94,81,2.77
65,Sao Filipe,CV,2022-02-12 04:40:24,14.8961,-24.4956,79.34,44,98,14.9
66,Tuktoyaktuk,CA,2022-02-12 04:40:24,69.4541,-133.0374,-22.0,76,75,4.61
67,Parabel,RU,2022-02-12 04:40:24,58.6978,81.4825,-7.19,96,84,8.72
68,Saint-Augustin,CA,2022-02-12 04:40:25,51.226,-58.6502,3.33,90,74,3.24
69,Manono,CD,2022-02-12 04:40:25,-7.3,27.4167,67.86,95,99,2.19
70,Hasaki,JP,2022-02-12 04:39:13,35.7333,140.8333,48.29,47,93,7.29
71,Geraldton,AU,2022-02-12 04:40:25,-28.7667,114.6,84.61,51,44,17.27
72,Sungairaya,ID,2022-02-12 04:40:26,0.7,108.9,78.51,84,99,2.19
73,Tasiilaq,GL,2022-02-12 04:40:26,65.6145,-37.6368,12.36,62,94,3.67
74,Kensington,AU,2022-02-12 04:40:26,-33.9167,151.2167,75.7,82,43,11.99
75,Mar Del Plata,AR,2022-02-12 04:37:25,-38.0023,-57.5575,63.09,73,100,24.0
76,Waipawa,NZ,2022-02-12 04:40:27,-41.4122,175.5153,61.45,98,100,13.91
77,Hirara,JP,2022-02-12 04:39:14,24.8,125.2833,68.27,94,75,9.22
78,Bethel,US,2022-02-12 04:40:27,41.3712,-73.414,50.11,62,0,6.91
79,Adrar,MR,2022-02-12 04:40:27,20.5022,-10.0711,58.24,23,68,9.57
80,Broome,US,2022-02-12 04:40:28,42.2506,-75.833,47.77,61,75,6.91
81,Pagudpud,PH,2022-02-12 04:40:28,18.5616,120.7868,82.36,63,28,10.69
82,Victoria,HK,2022-02-12 04:36:30,22.2855,114.1577,74.97,78,18,5.99
83,Nikolskoye,RU,2022-02-12 04:40:28,59.7035,30.7861,22.8,93,34,8.23
84,Fortuna,US,2022-02-12 04:40:29,40.5982,-124.1573,54.52,86,0,12.66
85,Derzhavinsk,KZ,2022-02-12 04:40:29,51.1,66.3167,19.53,93,99,18.39
86,Guerrero Negro,MX,2022-02-12 04:40:29,27.9769,-114.0611,63.34,63,0,9.08
87,Hospet,IN,2022-02-12 04:39:19,15.2667,76.4,79.36,45,17,13.82
88,Grand Gaube,MU,2022-02-12 04:40:30,-20.0064,57.6608,82.38,72,51,4.0
89,Karratha,AU,2022-02-12 04:41:30,-20.7377,116.8463,94.62,46,7,13.87
90,Hope,US,2022-02-12 04:41:31,33.6671,-93.5916,60.85,62,87,10.76
91,Yellowknife,CA,2022-02-12 04:37:48,62.456,-114.3525,-12.48,77,100,0.0
92,Chokurdakh,RU,2022-02-12 04:41:31,70.6333,147.9167,-2.85,95,100,13.42
93,Ucluelet,CA,2022-02-12 04:41:31,48.9329,-125.5528,40.08,91,45,1.95
94,Ada,US,2022-02-12 04:41:32,43.4166,-116.1262,36.88,69,0,12.66
95,San Patricio,US,2022-02-12 04:41:32,28.017,-97.5169,63.84,90,0,8.32
96,Severo-Kurilsk,RU,2022-02-12 04:38:59,50.6789,156.125,27.14,76,93,9.19
97,Mumford,GH,2022-02-12 04:41:32,5.2618,-0.759,78.31,88,58,6.17
98,Chuy,UY,2022-02-12 04:41:33,-33.6971,-53.4616,70.0,91,57,5.91
99,Pevek,RU,2022-02-12 04:41:33,69.7008,170.3133,-30.33,100,98,6.31
100,Svetlogorsk,BY,2022-02-12 04:41:33,52.6333,29.7333,29.89,93,100,7.76
101,Shahreza,IR,2022-02-12 04:41:34,32.0339,51.8794,42.44,62,2,1.07
102,Atuona,PF,2022-02-12 04:41:34,-9.8,-139.0333,77.9,76,7,12.55
103,Bandarbeyla,SO,2022-02-12 04:41:34,9.4942,50.8122,77.38,53,44,16.91
104,Ambagarh Chauki,IN,2022-02-12 04:41:35,20.7833,80.7167,73.13,20,20,7.36
105,San Cristobal,VE,2022-02-12 04:41:35,7.7669,-72.225,68.18,84,88,0.94
106,Bandar,ID,2022-02-12 04:41:35,2.05,99.75,83.3,70,100,2.15
107,Antibes,FR,2022-02-12 04:41:36,43.5624,7.1278,49.69,87,0,9.22
108,Qaqortoq,GL,2022-02-12 04:41:36,60.7167,-46.0333,30.7,83,100,8.63
109,Barrow,US,2022-02-12 04:41:36,71.2906,-156.7887,-34.58,100,0,8.05
110,Sitka,US,2022-02-12 04:41:37,57.0531,-135.33,42.69,87,100,8.05
111,Ancud,CL,2022-02-12 04:41:37,-41.8697,-73.8203,53.42,83,74,5.28
112,Yumen,CN,2022-02-12 04:39:23,40.2833,97.2,32.61,32,100,20.51
113,Ostrovnoy,RU,2022-02-12 04:41:37,68.0531,39.5131,16.77,94,98,6.96
114,Fare,PF,2022-02-12 04:36:46,-16.7,-151.0167,81.52,73,100,13.78
115,Kruisfontein,ZA,2022-02-12 04:41:38,-34.0033,24.7314,66.36,63,0,3.65
116,Kavaratti,IN,2022-02-12 04:41:38,10.5669,72.642,80.51,74,28,8.93
117,Dehloran,IR,2022-02-12 04:41:38,32.6941,47.2679,54.73,68,3,4.9
118,Xingcheng,CN,2022-02-12 04:41:39,40.6167,120.7167,28.76,45,82,11.74
119,Hongjiang,CN,2022-02-12 04:41:39,27.11,109.9956,42.01,92,100,2.75
120,Tautira,PF,2022-02-12 04:41:39,-17.7333,-149.15,80.62,74,77,13.18
121,Nara,JP,2022-02-12 04:41:40,34.6851,135.8049,53.91,35,99,4.29
122,Arraial Do Cabo,BR,2022-02-12 04:41:40,-22.9661,-42.0278,74.46,84,100,0.74
123,Klaksvik,FO,2022-02-12 04:41:40,62.2266,-6.589,43.72,89,100,22.64
124,Rebrikha,RU,2022-02-12 04:41:41,53.0733,82.3408,-0.09,94,95,8.63
125,Khatanga,RU,2022-02-12 04:41:41,71.9667,102.5,-2.02,85,93,12.37
126,Kapaa,US,2022-02-12 04:39:35,22.0752,-159.319,78.78,72,75,4.61
127,Vostok,RU,2022-02-12 04:41:41,46.4856,135.8833,14.99,92,100,5.77
128,Bereda,ES,2022-02-12 04:41:42,43.2686,-7.5406,45.14,100,82,0.85
129,Lucea,JM,2022-02-12 04:41:42,18.451,-78.1736,75.74,81,2,0.83
130,Lavrentiya,RU,2022-02-12 04:41:42,65.5833,-171.0,-25.51,93,8,8.14
131,Lazaro Cardenas,MX,2022-02-12 04:41:42,17.9583,-102.2,72.99,63,69,5.19
132,Saint George,US,2022-02-12 04:40:14,37.1041,-113.5841,63.19,25,0,18.41
133,Margate,GB,2022-02-12 04:42:43,51.3813,1.3862,42.51,85,45,5.99
134,Mahebourg,MU,2022-02-12 04:42:44,-20.4081,57.7,82.26,89,40,0.0
135,Portland,US,2022-02-12 04:42:23,45.5234,-122.6762,57.15,41,20,16.11
136,Vila Velha,BR,2022-02-12 04:42:44,-20.3297,-40.2925,73.35,96,75,3.44
137,Dawei,MM,2022-02-12 04:42:44,14.0833,98.2,90.1,39,72,8.05
138,Algiers,DZ,2022-02-12 04:37:55,36.7525,3.042,46.22,87,75,0.0
139,Mount Pleasant,US,2022-02-12 04:42:06,32.7941,-79.8626,51.98,81,0,0.0
140,Lagoa,PT,2022-02-12 04:42:45,39.05,-27.9833,59.29,80,95,17.56
